Nama;Gender;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Kirsten Norman;Pria;Orang Tua;Bekerja;Orang Tua;2009;Serang;UKM_2;Tidak;6,5;FT
Kirsten Pearson;Wanita;Orang Tua;Belum;Orang Tua;2007;Karawang;UKM_2;Ya;7;FT
Kirsten Poulton;Pria;Kosong;Bekerja;Kosong;2009;Jakarta;Tidak;Tidak;6;FIKOM
Kirsten Ranks;Pria;Orang Tua;Bekerja;Beasiswa;2008;Bogor;UKM_1;Tidak;4,5;FT
Kirsten Robinson;Pria;Kos;Belum;Kosong;2009;Bogor;UKM_1;Ya;7;FIKOM
Kirsten Scott;Wanita;Kosong;Bekerja;Beasiswa;2008;Bogor;UKM_3;Ya;5;FT
Kirsten Upton;Wanita;Kos;Bekerja;Beasiswa;2007;Karawang;Tidak;Ya;6;DKV
Kirsten Yard;Wanita;Kos;Bekerja;Kosong;2007;Jakarta;Tidak;Ya;4;DKV
Kurt Ainsworth;Pria;Orang Tua;Belum;Orang Tua;2009;Karawang;UKM_4;Tidak;3,5;FISIP
Kurt Andersson;Wanita;Orang Tua;Belum;Beasiswa;2007;Serang;UKM_3;Tidak;5;FT
Kurt Boden;Pria;Kosong;Belum;Beasiswa;2009;Karawang;UKM_3;Ya;6,5;FISIP
Kurt Bowen;Pria;Orang Tua;Bekerja;Orang Tua;2008;Bogor;UKM_1;Tidak;6,5;DKV
Kurt Broomfield;Pria;Kosong;Belum;Beasiswa;2008;Karawang;UKM_3;Ya;4;FIKOM
Kurt Bryant;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Tangerang;UKM_4;Ya;5,5;FTI
Kurt Butler;Wanita;Orang Tua;Belum;Orang Tua;2008;Tangerang;Tidak;Ya;4,5;FISIP
Kurt Chadwick;Pria;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_2;Tidak;7;FISIP
Kurt Coates;Pria;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_1;Ya;5;DKV
Kurt Corbett;Wanita;Kos;Bekerja;Beasiswa;2009;Tangerang;UKM_2;Ya;5;FISIP
Kurt Davies;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Tangerang;UKM_1;Tidak;6;FIKOM
Kurt Exton;Wanita;Kosong;Belum;Beasiswa;2007;Serang;UKM_3;Ya;3,5;FTI
Kurt Gunn;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Serang;UKM_1;Tidak;7;FT
Kurt Herbert;Wanita;Kosong;Belum;Beasiswa;2007;Serang;UKM_2;Tidak;5;FTI
Kurt Hudson;Wanita;Kos;Bekerja;Beasiswa;2009;Bogor;UKM_4;Tidak;3,5;FIKOM
Kurt Jenkins;Wanita;Kos;Bekerja;Kosong;2007;Karawang;UKM_4;Ya;6;FIKOM
Kurt Mcleod;Pria;Kos;Bekerja;Kosong;2008;Serang;Tidak;Tidak;4;FIKOM
Kurt Morley;Pria;Kos;Bekerja;Kosong;2009;Tangerang;UKM_1;Tidak;3,5;FIKOM
Kurt Mould;Pria;Kos;Belum;Kosong;2009;Serang;UKM_2;Ya;5,5;FISIP
Kurt Murphy;Pria;Kosong;Belum;Orang Tua;2008;Tangerang;Tidak;Tidak;3,5;FT
Kurt Murray;Wanita;Orang Tua;Belum;Kosong;2008;Serang;UKM_3;Tidak;3,5;DKV
Kurt Powell;Pria;Kos;Bekerja;Kosong;2008;Bekasi;UKM_4;Tidak;4,5;FIKOM
Kurt Quinton;Pria;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_1;Tidak;6;DKV
Kurt Rees;Pria;Kosong;Belum;Beasiswa;2009;Tangerang;UKM_3;Ya;5,5;FISIP
Kurt Reese;Pria;Kos;Bekerja;Orang Tua;2007;Karawang;UKM_2;Ya;5;FIKOM
Kurt Rivers;Wanita;Kos;Bekerja;Beasiswa;2007;Serang;UKM_1;Tidak;4,5;FIKOM
Kurt Rixon;Pria;Kos;Belum;Orang Tua;2007;Bekasi;UKM_3;Tidak;7;FT
Kurt Spencer;Pria;Kosong;Bekerja;Kosong;2009;Bogor;UKM_1;Ya;6;FIKOM
Kurt Stone;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;Tidak;Ya;6,5;DKV
Kurt Stuart;Pria;Orang Tua;Belum;Orang Tua;2008;Bogor;UKM_2;Tidak;6;DKV
Kurt Torres;Pria;Kos;Bekerja;Kosong;2007;Tangerang;Tidak;Tidak;5,5;FT
Kurt Truscott;Pria;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_2;Tidak;4;FISIP
Kurt Upton;Wanita;Orang Tua;Bekerja;Orang Tua;2008;Karawang;Tidak;Tidak;6;FT
Kurt Uttley;Pria;Kos;Bekerja;Orang Tua;2009;Karawang;Tidak;Tidak;4;DKV
Kurt Walter;Wanita;Kosong;Belum;Beasiswa;2008;Bekasi;UKM_2;Ya;7;DKV
Kurt Weatcroft;Wanita;Orang Tua;Belum;Orang Tua;2008;Karawang;UKM_4;Tidak;4,5;FISIP
Kurt Webster;Wanita;Orang Tua;Belum;Kosong;2008;Karawang;UKM_4;Ya;4;FTI
Kurt Whinter;Wanita;Kos;Bekerja;Beasiswa;2008;Bekasi;UKM_1;Tidak;5,5;FISIP
Kurt Whitehouse;Wanita;Orang Tua;Belum;Kosong;2009;Tangerang;UKM_3;Ya;6,5;DKV
Laila Bristow;Pria;Orang Tua;Belum;Beasiswa;2009;Serang;Tidak;Tidak;7;FT
Laila Bryson;Wanita;Orang Tua;Belum;Kosong;2007;Tangerang;Tidak;Tidak;5;FIKOM
Laila Cavanagh;Pria;Orang Tua;Bekerja;Orang Tua;2008;Serang;UKM_4;Ya;4,5;FISIP
Laila Driscoll;Wanita;Kos;Belum;Kosong;2008;Serang;UKM_1;Ya;4;FTI
Laila Flanders;Wanita;Kos;Bekerja;Kosong;2008;Jakarta;UKM_3;Tidak;3,5;FTI
Laila Garner;Pria;Kos;Belum;Kosong;2008;Bekasi;UKM_1;Ya;5,5;FT
Laila Gibson;Pria;Kosong;Bekerja;Beasiswa;2008;Bogor;UKM_4;Ya;5;FT
Laila Healy;Pria;Kos;Belum;Orang Tua;2008;Bekasi;Tidak;Ya;6;DKV
Laila Irving;Wanita;Kosong;Belum;Orang Tua;2007;Bogor;UKM_3;Ya;7;FISIP
Laila Leslie;Wanita;Kos;Bekerja;Kosong;2007;Bogor;Tidak;Ya;6;FTI
Laila Mason;Wanita;Kos;Bekerja;Beasiswa;2007;Bekasi;UKM_3;Ya;7;FIKOM
Laila Reynolds;Wanita;Kosong;Bekerja;Beasiswa;2009;Bogor;UKM_4;Tidak;5;DKV
Laila Rossi;Pria;Orang Tua;Bekerja;Kosong;2009;Karawang;Tidak;Tidak;5;FIKOM
Laila Skinner;Wanita;Kos;Belum;Orang Tua;2009;Serang;Tidak;Ya;5,5;FISIP
Laila Stevenson;Wanita;Kosong;Bekerja;Orang Tua;2007;Bogor;UKM_4;Tidak;5,5;FIKOM
Laila Thompson;Wanita;Kos;Bekerja;Orang Tua;2007;Bogor;UKM_4;Ya;5,5;FIKOM
Laila Vangness;Pria;Kos;Belum;Kosong;2007;Bogor;Tidak;Ya;4;DKV
Laila Walter;Pria;Kos;Bekerja;Kosong;2007;Serang;UKM_4;Ya;7;FTI
Laila Watson;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;UKM_4;Ya;7;FTI
Laila Wellington;Wanita;Kos;Bekerja;Beasiswa;2008;Karawang;UKM_4;Ya;6,5;FISIP
Lana Butler;Wanita;Orang Tua;Belum;Beasiswa;2008;Bogor;UKM_4;Tidak;5;FTI
Lana Edwards;Pria;Orang Tua;Belum;Kosong;2008;Karawang;UKM_2;Tidak;5;FISIP
Lana Judd;Wanita;Kos;Bekerja;Beasiswa;2008;Karawang;UKM_1;Ya;6,5;FTI
Lana Lee;Wanita;Kosong;Bekerja;Kosong;2009;Serang;UKM_1;Ya;4,5;FIKOM
Lana Matthews;Pria;Kos;Belum;Orang Tua;2008;Tangerang;UKM_4;Ya;3,5;FISIP
Lana Richards;Wanita;Kosong;Belum;Beasiswa;2008;Jakarta;UKM_4;Ya;6;FIKOM
Lana Speed;Pria;Kosong;Bekerja;Kosong;2009;Serang;Tidak;Tidak;5;FISIP
Lana Tait;Pria;Kosong;Belum;Kosong;2009;Tangerang;UKM_2;Tidak;6,5;FT
Lara Brock;Pria;Kos;Bekerja;Beasiswa;2008;Jakarta;UKM_2;Ya;5,5;DKV
Lara Craig;Wanita;Kos;Bekerja;Orang Tua;2008;Serang;Tidak;Ya;6;FT
Lara Emerson;Pria;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_3;Tidak;4;FTI
Lara Franks;Pria;Orang Tua;Bekerja;Kosong;2007;Tangerang;UKM_3;Tidak;7;FIKOM
Lara Jobson;Wanita;Kos;Belum;Kosong;2008;Jakarta;UKM_1;Tidak;3,5;FISIP
Lara Michael;Wanita;Kosong;Belum;Orang Tua;2009;Serang;UKM_3;Tidak;3,5;FISIP
Lara Morris;Wanita;Orang Tua;Belum;Orang Tua;2008;Serang;UKM_4;Ya;4,5;FTI
Lara Riley;Wanita;Kos;Bekerja;Kosong;2007;Tangerang;UKM_3;Tidak;7;FT
Lara Sherry;Pria;Kos;Belum;Kosong;2007;Karawang;UKM_4;Tidak;4,5;FT
Lara Sinclair;Wanita;Orang Tua;Belum;Orang Tua;2007;Tangerang;UKM_4;Tidak;7;DKV
Lara Todd;Wanita;Orang Tua;Belum;Orang Tua;2007;Bekasi;UKM_2;Ya;7;FIKOM
Lauren Ashwell;Wanita;Orang Tua;Bekerja;Kosong;2009;Bogor;Tidak;Ya;6;FT
Lauren Brown;Wanita;Kosong;Bekerja;Kosong;2009;Bekasi;UKM_3;Ya;6;FTI
Lauren Fields;Pria;Kos;Bekerja;Beasiswa;2009;Serang;UKM_3;Tidak;6;FIKOM
Lauren Glynn;Pria;Kosong;Belum;Orang Tua;2007;Serang;UKM_4;Ya;3,5;FTI
Lauren Oakley;Pria;Kos;Belum;Beasiswa;2007;Bekasi;UKM_2;Tidak;6;FT
Lauren Redfern;Pria;Kos;Bekerja;Beasiswa;2007;Serang;UKM_3;Tidak;3,5;FT
Lauren Richardson;Pria;Kosong;Belum;Beasiswa;2007;Jakarta;UKM_4;Tidak;3,5;DKV
Lauren Rivers;Wanita;Kos;Belum;Kosong;2009;Serang;Tidak;Tidak;3,5;FTI
Lauren Rosenbloom;Pria;Kos;Bekerja;Orang Tua;2009;Bogor;UKM_2;Tidak;3,5;DKV
Lauren Tyrrell;Wanita;Kos;Bekerja;Beasiswa;2008;Tangerang;UKM_2;Tidak;6,5;FIKOM
Lauren Warden;Pria;Kos;Belum;Orang Tua;2009;Jakarta;UKM_1;Ya;5,5;FTI
Leah Archer;Pria;Orang Tua;Bekerja;Kosong;2007;Karawang;UKM_1;Tidak;6,5;FTI
Leah Bradshaw;Pria;Kos;Belum;Beasiswa;2008;Bekasi;UKM_4;Ya;4,5;DKV
Leah Broomfield;Pria;Orang Tua;Belum;Beasiswa;2007;Bogor;UKM_4;Tidak;5,5;FISIP
Leah Burnley;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Bekasi;UKM_4;Tidak;4,5;FISIP
Leah Chadwick;Wanita;Kos;Bekerja;Orang Tua;2007;Tangerang;UKM_4;Ya;4,5;FTI
Leah Greenwood;Pria;Orang Tua;Bekerja;Orang Tua;2008;Bekasi;UKM_1;Ya;5,5;DKV
Leah Hall;Wanita;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_4;Ya;5;DKV
Leah Hudson;Wanita;Orang Tua;Belum;Kosong;2009;Jakarta;UKM_4;Tidak;5,5;FT
Leah King;Wanita;Kosong;Belum;Beasiswa;2007;Tangerang;UKM_4;Ya;6;FIKOM
Leah Lynch;Pria;Kosong;Bekerja;Beasiswa;2008;Tangerang;UKM_1;Ya;7;FISIP
Leah Noon;Pria;Orang Tua;Bekerja;Orang Tua;2007;Tangerang;Tidak;Tidak;7;FT
Leah Olson;Wanita;Kosong;Bekerja;Beasiswa;2008;Jakarta;UKM_3;Ya;3,5;FIKOM
Leah Rehman;Wanita;Kosong;Bekerja;Beasiswa;2008;Karawang;UKM_2;Tidak;3,5;FTI
Leah Tate;Pria;Orang Tua;Bekerja;Beasiswa;2009;Jakarta;Tidak;Ya;5,5;FISIP
Leah Tyrrell;Pria;Kosong;Belum;Beasiswa;2009;Bekasi;UKM_2;Ya;6,5;FIKOM
Leah Verdon;Pria;Kosong;Bekerja;Orang Tua;2007;Bekasi;UKM_4;Tidak;6;FIKOM
Leah Yard;Pria;Kosong;Bekerja;Orang Tua;2008;Serang;UKM_1;Tidak;5;DKV
Leanne Amstead;Pria;Kosong;Belum;Kosong;2008;Jakarta;UKM_4;Ya;3,5;FT
Leanne Collingwood;Pria;Orang Tua;Bekerja;Orang Tua;2009;Serang;UKM_1;Tidak;4;DKV
Leanne Everett;Pria;Kos;Bekerja;Beasiswa;2008;Bogor;UKM_2;Tidak;6,5;FT
Leanne Faulkner;Wanita;Kosong;Belum;Kosong;2007;Serang;UKM_2;Ya;4;FIKOM
Leanne Higgs;Pria;Orang Tua;Belum;Beasiswa;2008;Tangerang;UKM_1;Tidak;3,5;DKV
Leanne Mason;Wanita;Orang Tua;Belum;Beasiswa;2008;Bogor;Tidak;Ya;5;FIKOM
Leanne Morgan;Wanita;Kos;Belum;Beasiswa;2008;Bogor;UKM_3;Ya;5,5;FISIP
Leanne Redfern;Pria;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_1;Tidak;5,5;FISIP
Leanne Swan;Wanita;Orang Tua;Bekerja;Kosong;2008;Jakarta;UKM_3;Ya;6;FISIP
Leilani Adler;Pria;Kosong;Belum;Kosong;2007;Bekasi;UKM_4;Ya;5;FIKOM
Leilani Carter;Wanita;Kosong;Bekerja;Orang Tua;2009;Karawang;UKM_3;Tidak;6,5;FISIP
Leilani Cork;Pria;Orang Tua;Belum;Beasiswa;2009;Serang;UKM_3;Ya;6;FT
Leilani Davies;Pria;Orang Tua;Bekerja;Beasiswa;2008;Tangerang;UKM_4;Ya;3,5;DKV
Leilani Hudson;Pria;Kosong;Belum;Kosong;2007;Bekasi;UKM_3;Ya;6;FT
Leilani Khan;Wanita;Kosong;Bekerja;Orang Tua;2008;Bekasi;UKM_3;Tidak;5,5;FTI
Leilani Lane;Wanita;Orang Tua;Belum;Beasiswa;2009;Tangerang;UKM_3;Tidak;4;FTI
Leilani Lloyd;Pria;Kos;Belum;Orang Tua;2007;Serang;UKM_4;Ya;3,5;FISIP
Leilani Lowe;Wanita;Kosong;Belum;Kosong;2008;Bekasi;Tidak;Tidak;4;FT
Leilani Mcgee;Wanita;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_3;Tidak;6;FTI
Leilani Pierce;Wanita;Kos;Bekerja;Kosong;2007;Bogor;UKM_1;Ya;4,5;FIKOM
Leilani Quinnell;Pria;Kosong;Bekerja;Kosong;2009;Serang;UKM_4;Tidak;3,5;FIKOM
Leilani Simpson;Pria;Orang Tua;Belum;Beasiswa;2007;Jakarta;UKM_3;Tidak;3,5;FTI
Leilani Thomson;Pria;Orang Tua;Belum;Kosong;2008;Bekasi;UKM_2;Ya;5;FISIP
Leilani Umney;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Bogor;UKM_1;Ya;6,5;FISIP
Leilani Warren;Wanita;Orang Tua;Bekerja;Orang Tua;2008;Bogor;UKM_2;Tidak;7;FIKOM
Leilani Watt;Pria;Kos;Belum;Kosong;2008;Tangerang;UKM_3;Tidak;7;FTI
Leilani White;Pria;Kosong;Bekerja;Orang Tua;2007;Karawang;UKM_4;Ya;5;FISIP
Leroy Allington;Wanita;Kosong;Bekerja;Orang Tua;2008;Tangerang;UKM_4;Ya;4,5;FISIP
Leroy Baker;Pria;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;6,5;FT
Leroy Barclay;Wanita;Kosong;Belum;Beasiswa;2007;Bogor;UKM_2;Tidak;3,5;FISIP
Leroy Bright;Wanita;Kosong;Bekerja;Orang Tua;2009;Tangerang;UKM_3;Ya;6;FIKOM
Leroy Clark;Pria;Orang Tua;Bekerja;Beasiswa;2008;Karawang;UKM_1;Ya;3,5;FIKOM
Leroy Collis;Pria;Kos;Bekerja;Orang Tua;2009;Bogor;UKM_1;Tidak;5,5;FTI
Leroy Ebbs;Pria;Orang Tua;Belum;Kosong;2009;Tangerang;UKM_2;Tidak;3,5;FT
Leroy Goodman;Pria;Kos;Bekerja;Kosong;2008;Serang;Tidak;Tidak;6,5;FIKOM
Leroy Hall;Pria;Orang Tua;Belum;Beasiswa;2008;Karawang;UKM_3;Ya;5,5;FIKOM
Leroy Harris;Pria;Kos;Bekerja;Kosong;2009;Bekasi;UKM_3;Tidak;5;FISIP
Leroy Hill;Pria;Orang Tua;Bekerja;Kosong;2007;Jakarta;Tidak;Ya;5,5;FISIP
Leroy Holmes;Pria;Kosong;Belum;Orang Tua;2008;Karawang;UKM_1;Tidak;4;FTI
Leroy Hope;Pria;Kos;Bekerja;Orang Tua;2008;Bekasi;UKM_4;Ya;5,5;FIKOM
Leroy Ianson;Wanita;Kos;Belum;Orang Tua;2008;Tangerang;Tidak;Tidak;4,5;FTI
Leroy Jeffery;Wanita;Kos;Bekerja;Kosong;2009;Bogor;UKM_2;Tidak;5;DKV
Leroy Kelly;Wanita;Kosong;Belum;Kosong;2009;Tangerang;UKM_2;Ya;5,5;DKV
Leroy Lakey;Wanita;Kos;Bekerja;Kosong;2008;Jakarta;Tidak;Tidak;4;FT
Leroy Lee;Pria;Kosong;Belum;Beasiswa;2007;Bogor;UKM_2;Ya;6,5;FIKOM
Leroy Little;Wanita;Kosong;Bekerja;Beasiswa;2008;Jakarta;UKM_2;Ya;4;FT
Leroy Miller;Pria;Kos;Belum;Orang Tua;2009;Karawang;Tidak;Tidak;4,5;FISIP
Leroy Nayler;Pria;Kosong;Belum;Orang Tua;2009;Tangerang;UKM_4;Tidak;6;FIKOM
Leroy Neal;Pria;Kosong;Belum;Beasiswa;2009;Bekasi;UKM_2;Tidak;7;FT
Leroy Pearce;Wanita;Kos;Belum;Kosong;2008;Serang;UKM_4;Ya;6;DKV
Leroy Purvis;Pria;Kos;Bekerja;Orang Tua;2009;Serang;UKM_3;Tidak;6;FT
Leroy Radcliffe;Wanita;Kos;Belum;Beasiswa;2009;Jakarta;Tidak;Ya;6,5;DKV
Leroy Scott;Wanita;Orang Tua;Bekerja;Orang Tua;2008;Bekasi;Tidak;Tidak;7;FTI
Leroy Simpson;Wanita;Kosong;Belum;Beasiswa;2007;Jakarta;UKM_4;Tidak;7;FIKOM
Leroy Skinner;Pria;Kos;Belum;Orang Tua;2009;Tangerang;UKM_2;Ya;4;FT
Leroy Slater;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_4;Tidak;7;FISIP
Leroy Sloan;Wanita;Orang Tua;Belum;Beasiswa;2008;Bekasi;UKM_3;Ya;7;FT
Leroy Smith;Pria;Kosong;Belum;Orang Tua;2007;Serang;UKM_4;Ya;4,5;FT
Leroy Sylvester;Wanita;Kosong;Bekerja;Orang Tua;2007;Karawang;UKM_4;Ya;4,5;FT
Leroy Uttley;Pria;Kosong;Belum;Orang Tua;2007;Bogor;UKM_1;Ya;4,5;FT
Leroy Welsch;Pria;Orang Tua;Belum;Orang Tua;2007;Tangerang;UKM_4;Tidak;7;FIKOM
Leroy White;Wanita;Kos;Belum;Kosong;2007;Bekasi;UKM_3;Tidak;6;FISIP
Leroy Wilkinson;Pria;Kosong;Bekerja;Kosong;2007;Karawang;UKM_3;Tidak;4;FTI
Leroy Wilson;Wanita;Kosong;Bekerja;Kosong;2008;Jakarta;UKM_1;Tidak;7;FIKOM
Leroy Wood;Pria;Kos;Bekerja;Beasiswa;2007;Bogor;UKM_3;Ya;4;FT
Leslie Bullock;Wanita;Kosong;Belum;Kosong;2008;Tangerang;UKM_4;Ya;4,5;FISIP
Leslie Chappell;Wanita;Kosong;Bekerja;Kosong;2009;Bogor;Tidak;Ya;6;DKV
Leslie Henderson;Pria;Kosong;Bekerja;Beasiswa;2009;Bekasi;UKM_3;Tidak;5,5;FTI
Leslie Owens;Pria;Orang Tua;Bekerja;Kosong;2009;Bogor;UKM_3;Ya;5;FTI
Leslie Quinnell;Pria;Kosong;Bekerja;Kosong;2008;Bogor;UKM_1;Tidak;5;FTI
Leslie Talbot;Pria;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_4;Tidak;4;FIKOM
Leslie Uttley;Wanita;Kos;Bekerja;Beasiswa;2007;Jakarta;Tidak;Tidak;4,5;FISIP
Leslie Watt;Wanita;Kosong;Bekerja;Kosong;2009;Karawang;UKM_1;Ya;5;FTI
Lexi Abbey;Wanita;Kosong;Belum;Orang Tua;2008;Bekasi;UKM_2;Ya;3,5;FT
Lexi Callan;Pria;Kosong;Belum;Kosong;2007;Bogor;UKM_4;Ya;4,5;DKV
Lexi Cooper;Pria;Orang Tua;Bekerja;Beasiswa;2009;Tangerang;UKM_3;Ya;3,5;FISIP
Lexi Curtis;Wanita;Kos;Bekerja;Orang Tua;2007;Jakarta;UKM_4;Tidak;6,5;FISIP
Lexi Dickson;Wanita;Kosong;Belum;Orang Tua;2008;Bogor;UKM_1;Ya;5;FIKOM
Lexi Donovan;Wanita;Orang Tua;Belum;Beasiswa;2007;Karawang;UKM_1;Ya;5,5;DKV
Lexi Eaton;Wanita;Orang Tua;Belum;Beasiswa;2009;Bekasi;UKM_4;Ya;6;FTI
Lexi Egerton;Pria;Orang Tua;Belum;Beasiswa;2008;Jakarta;Tidak;Ya;5;FT
Lexi Forester;Wanita;Kosong;Bekerja;Orang Tua;2009;Karawang;UKM_2;Ya;5;FISIP
Lexi Maxwell;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Bekasi;Tidak;Ya;6,5;FISIP
Lexi Nanton;Wanita;Kos;Belum;Beasiswa;2009;Bekasi;UKM_4;Tidak;6,5;FIKOM
Lexi Nicholls;Pria;Kosong;Bekerja;Beasiswa;2007;Bekasi;UKM_4;Tidak;6;FT
Lexi Oliver;Wanita;Kos;Bekerja;Kosong;2007;Karawang;Tidak;Tidak;5;FT
Lexi Palmer;Wanita;Orang Tua;Belum;Beasiswa;2009;Tangerang;UKM_2;Tidak;7;FIKOM
Lexi Rehman;Wanita;Kos;Bekerja;Orang Tua;2009;Jakarta;UKM_4;Ya;5;FT
Lexi Reyes;Pria;Kosong;Bekerja;Beasiswa;2007;Bogor;UKM_4;Tidak;4;FT
Lexi Robertson;Wanita;Kos;Bekerja;Orang Tua;2008;Jakarta;UKM_4;Tidak;5,5;FTI
Lexi Snell;Pria;Kosong;Belum;Orang Tua;2008;Serang;UKM_4;Ya;6,5;DKV
Lexi Townend;Pria;Kos;Bekerja;Orang Tua;2009;Bekasi;Tidak;Tidak;4,5;FTI
Lexi Vince;Pria;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_4;Ya;7;FISIP
Lexi Vincent;Wanita;Kosong;Belum;Kosong;2009;Serang;UKM_2;Tidak;5;FTI
Lexi Ward;Pria;Kos;Belum;Beasiswa;2009;Bogor;UKM_2;Ya;3,5;FTI
Liam Adler;Wanita;Kosong;Bekerja;Orang Tua;2009;Karawang;Tidak;Ya;4;FT
Liam Anderson;Pria;Kosong;Bekerja;Beasiswa;2007;Jakarta;UKM_1;Tidak;5,5;DKV
Liam Bowen;Pria;Orang Tua;Belum;Orang Tua;2008;Karawang;UKM_1;Ya;6;FIKOM
Liam Brooks;Pria;Kos;Belum;Orang Tua;2008;Tangerang;UKM_4;Tidak;6;FTI
Liam Brown;Wanita;Orang Tua;Belum;Beasiswa;2009;Serang;Tidak;Tidak;5,5;DKV
Liam Bullock;Wanita;Kos;Belum;Orang Tua;2007;Bekasi;UKM_1;Ya;6,5;DKV
Liam Dempsey;Pria;Kos;Belum;Beasiswa;2009;Jakarta;Tidak;Tidak;5,5;FISIP
Liam Dillon;Wanita;Kos;Bekerja;Orang Tua;2008;Bogor;UKM_4;Tidak;6;FISIP
Liam Ebden;Wanita;Kosong;Bekerja;Kosong;2009;Bogor;UKM_2;Ya;5;FTI
Liam Emerson;Pria;Orang Tua;Bekerja;Kosong;2008;Serang;Tidak;Tidak;5;FISIP
Liam Funnell;Wanita;Kos;Bekerja;Kosong;2008;Bogor;UKM_4;Ya;6,5;DKV
Liam Furnell;Pria;Kos;Bekerja;Orang Tua;2008;Karawang;Tidak;Ya;4;FT
Liam Gavin;Pria;Kos;Belum;Kosong;2007;Karawang;Tidak;Tidak;4,5;FIKOM
Liam Gibson;Pria;Kosong;Bekerja;Kosong;2007;Bekasi;UKM_1;Ya;5;FISIP
Liam Heaton;Wanita;Kosong;Belum;Kosong;2008;Jakarta;UKM_1;Ya;7;FISIP
Liam Hewitt;Pria;Kosong;Bekerja;Orang Tua;2008;Serang;UKM_4;Ya;3,5;DKV
Liam Hill;Pria;Kos;Bekerja;Beasiswa;2007;Karawang;UKM_2;Tidak;5;FISIP
Liam Hobbs;Pria;Kosong;Belum;Beasiswa;2008;Tangerang;UKM_2;Tidak;5;FT
Liam Horton;Pria;Kosong;Bekerja;Beasiswa;2008;Bekasi;UKM_4;Ya;5;FIKOM
Liam Kerr;Pria;Orang Tua;Bekerja;Orang Tua;2007;Tangerang;UKM_2;Ya;4;FISIP
Liam Lane;Wanita;Orang Tua;Belum;Beasiswa;2008;Bekasi;UKM_4;Ya;7;FT
Liam Lee;Wanita;Kos;Bekerja;Kosong;2009;Jakarta;UKM_4;Tidak;4,5;FTI
Liam Lomax;Pria;Orang Tua;Belum;Kosong;2007;Karawang;UKM_3;Tidak;6;FISIP
Liam Mcgregor;Pria;Kosong;Bekerja;Beasiswa;2008;Bogor;UKM_2;Tidak;6;FIKOM
Liam Mitchell;Pria;Kosong;Belum;Kosong;2009;Serang;UKM_1;Ya;4,5;FIKOM
Liam Mullins;Pria;Orang Tua;Belum;Orang Tua;2007;Serang;UKM_1;Tidak;6,5;FT
Liam Myatt;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Bogor;Tidak;Ya;7;FT
Liam Oatway;Wanita;Kos;Bekerja;Beasiswa;2007;Jakarta;UKM_1;Tidak;3,5;FTI
Liam Osman;Pria;Kosong;Bekerja;Kosong;2009;Tangerang;UKM_3;Tidak;6,5;FTI
Liam Owens;Wanita;Kos;Belum;Orang Tua;2008;Karawang;UKM_3;Tidak;3,5;FT
Liam Parker;Wanita;Kos;Belum;Beasiswa;2007;Karawang;UKM_4;Ya;6;FTI
Liam Randall;Pria;Kos;Belum;Kosong;2007;Karawang;UKM_1;Tidak;4,5;FTI
Liam Redfern;Pria;Orang Tua;Belum;Kosong;2008;Serang;Tidak;Ya;5,5;FT
Liam Reid;Pria;Kosong;Belum;Kosong;2009;Tangerang;UKM_2;Tidak;4,5;FT
Liam Ripley;Pria;Orang Tua;Belum;Kosong;2009;Bogor;UKM_4;Tidak;7;FIKOM
Liam Robertson;Pria;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_4;Ya;5;FIKOM
Liam Rogan;Pria;Kos;Bekerja;Beasiswa;2008;Bogor;UKM_1;Tidak;6,5;FTI
Liam Rose;Pria;Kos;Belum;Beasiswa;2008;Jakarta;UKM_2;Tidak;5;FTI
Liam Rowe;Pria;Kosong;Bekerja;Beasiswa;2007;Jakarta;UKM_2;Ya;5,5;DKV
Liam Salt;Pria;Kosong;Bekerja;Orang Tua;2008;Karawang;UKM_2;Ya;4,5;FTI
